"112年07月 2330 台積電           各日成交資訊"
"日期","成交股數","成交金額","開盤價","最高價","最低價","收盤價","漲跌價差","成交筆數",
"112/07/03","15,118,041","8,743,824,984","578.00","580.00","576.00","579.00","+3.00","15,659",
"112/07/04","17,777,363","10,361,905,547","585.00","585.00","580.00","585.00","+6.00","18,848",
"112/07/05","15,553,503","9,060,750,346","589.00","589.00","579.00","582.00","-3.00","16,504",
"112/07/06","32,069,711","18,234,491,768","573.00","574.00","565.00","565.00","-17.00","60,108",
"112/07/07","19,858,943","11,244,712,238","565.00","572.00","563.00","565.00"," 0.00","21,855",
"112/07/10","18,996,089","10,794,393,087","567.00","573.00","565.00","565.00"," 0.00","17,792",
"112/07/11","18,566,571","10,665,245,909","574.00","577.00","570.00","577.00","+12.00","17,795",
"112/07/12","15,809,806","9,101,791,872","574.00","578.00","572.00","578.00","+1.00","14,420",
"說明:"
"符號說明:+/-/X表示漲/跌/不比價"
"當日統計資訊含一般、零股、盤後定價，不含鉅額、拍賣、標購。"
"ETF證券代號第六碼為K、M、S、C者，表示該ETF以外幣交易。"
"權證證券代號可重複使用，權證顯示之名稱係目前存續權證之簡稱。"

